Negative,Positive
"@JWMarriott your exec lounge at the @JWMarriottATX was a disaster this morning around 9:39am. Guests bussing dirty dishes to make room, coffee machine not working. Short staffed?  pic.twitter.com/0zIvqWc1w5",Today's glamorous jewel-toned wedding at @thejoule is a dream come true ow.ly/Qu1Yd #hotelwedding pic.twitter.com/RrHYYB7CIP
We like to think that #SXSW has never been cheddar. Enjoy the bounty! Thanks for stopping by. pic.twitter.com/AzFziGNc1i,"""A luxurious hotel has recast itself as the star of the city's burgeoning creative scene."" Congratulations @thejoule: bit.ly/1SINQcP"
"Thanks so much for the great Yelp review Addy! We're  thrilled to host you again, & we apologize that our team member woke you up when confirming that the noise issue had been resolved.  Thanks so much for staying with us and we're honored to be your favorite hotel in Austin!",A beautiful start to a great day @thejoule Dallas! #lattelove pic.twitter.com/4IFxYKg8xJ
Working mom of 9 month old...who travels. 1. Ordered my @MilkStork to the wrong hotel-milk stork was able to fix it! 2. Picked up from @JWMarriottATX and @FedEx employee asked me if it was milk stork and said they wonÃ¢â‚¬â„¢t charge a handling fee for that! Now IÃ¢â‚¬â„¢m ready for work week. pic.twitter.com/3NrnkqT2A3,Cold brews from The Weekend in @thejoule are the best. Barely managed to take a pic before I finished it Å¸Ëœâ€¹ pic.twitter.com/TvHzj5ilg1
We are very sorry to hear you were disappointed with our team.  Could you please dm us your contact information so we may follow up with you ?,Thanks to all the great people we networked with @thejoule #dallas #networkofexecutivewomen ShavonneDorsey.com
Views like this never get old! #DowntownATX #AustinTX #JWMarriottATX #DowntownViews pic.twitter.com/rKZ1qtEKWa,Flat whites with @DeskDirector and @wisesync at @thejoule - best coffee in #DFW  and possibly the world. pic.twitter.com/edDoiwQ18B
There's nothing like lounging with a view to make your Monday blues disappear! #MotivationMonday #JWMarriott #TaketheEdgeOff #DowntownATX pic.twitter.com/tWH52gYLgc,My office view for next couple of hours @thejoule only in Dallas!  Å¸â€™â€º love this place.... pic.twitter.com/6OX2J4X4lE
@JWMarriottATX I can't believe u have no sympathy for houstonians who went thru #hurricaneharvey. So disappointing! @JWMarriott,Had a great time with the people at @thejoule today photographing their Exec. Chef & GM. I forgot how stunning the inside of that hotel is!
@JWMarriottATX I asked for a manager to call me but never did ! I can't believe they would tell a #HurricaneHarvey houston resident this!,A roof with a view: the worldÃ¢â‚¬â„¢s best rooftops! momondo.com/inspiration/woÃ¢â‚¬Â¦ @FSMumbai @ARoSKunst @thejoule @TheRoofGardens pic.twitter.com/HW5yYmpx8V
@JWMarriottATX I told them so many in houston have lost homes ... so disappointing they treat customers like this !,Between ground and the sky the beautiful suspended pool at the @thejoule #Dallas pic.twitter.com/uGDPA9ylxj
Pretty annoyed that I paid $100 for a gel manicure at @JWMarriottATX and it's already chipped (less 5 days later). Not cool!,@thejoule thanks for making us feel so special on our anniversary trip. I think my friends are tired of hearing me talk about it! The best!
Just heard from a rude rep of @LibertyMutual that represents @JWMarriottATX. My claim was DENIED even though it happened on their property!,No joke  this is the best coffee I've ever had. Does #WeekendCoffee ship to NYC? @thejoule pic.twitter.com/sXHqhAezJt
"@JWMarriottATX gorgeous hotel. Very cool corner outside bar. But, my daughter was disappointed she couldn't get a virgin frozen drink. #sad",Great stay @thejoule this weekend. Would recommend to anyone in the Dallas area!
Always. That valet and @JWMarriottATX are the WORST!,@thejoule this one's good too  especially if you put it on repeat. Thanks for hosting us! pic.twitter.com/geElCts79Q
Last day at #sxsw interactive exploring the state of (still) terrible #AI (@ JW Marriott Austin - @jwmarriottatx)  https://www.swarmapp.com/c/biE1Rg7b2DuÃ‚Â ,Could there possibly be anything more charming than this? #@ thejoule #TEAatTASHEN pic.twitter.com/o2iOdHT9es
#sxsw = no voice.... not good for event host + speaker + podcaster.. tea time at @JWMarriottATX via #Specs pic.twitter.com/DeVXdlNj3H,Just had a great couple of nights @thejoule in Downtown #Dallas. Gorgeous boutique hotel full of art and excellent food @CBDProvisions.
we are sorry we missed you & that our server was misinformed. We prepared a meal for you & regret it missed you.,Downtown #Dallas @thejoule - highly recommend. #boutiquehotels #luxury #travel pic.twitter.com/KqWM7icRyF
we've reached out to our team so they can find out what's behind the noise!,Great room in a beautiful hotel. Dallas is showing well today! @thejoule
@JWMarriottATX whatever is happening behind salon h is completely overpowering the conference speaker!! Shh!!! Too loud.,Loved seeing these two outside @wtfareuwearing #blkfriday @thejoule @wtfareuwearing #shoppingÃ¢â‚¬Â¦ instagram.com/p/0GuzaaRNNC/
There are worse ways to spend a Monday! #mondaymotivation #mondayfunday #downtownviews #atx @ JWÃ¢â‚¬Â¦  https://www.instagram.com/p/BN7d0rjBm7b/Ã‚Â ,Not to mention the amazing hotel we stayed at  it was def worth it $$. Best hotel in Dallas  TX @thejoule
Not the best welcoming experience at @JWMarriottATX - booked the pictured suite to sleep 3 and got a room with only 1 queen bed!  pic.twitter.com/OUAwZ351DE,Fresh Monday New Office View! Look @thejoule pool pic.twitter.com/pTZpbG4EEU
"we apologize for the frustrating experience, can you DM us your info so we may follow up ?   https://twitter.com/messages/compose?recipient_id=430952817Ã‚Â Ã¢â‚¬Â¦",Oooh La La! Best of Big D @DMagazine BEST COCKTAILS @RamblerBar @CuffsandButtons @thejoule #InGoodCompany #Happy ow.ly/jqKF302QKaN
"now we're embarrassed, we absolutely would love to be your host, just trying to avoid throwing shade at the HPAtx!",@cowboycomputer Dallas. @thejoule downtown. Best place around
Oh big surprise. Suddenly the @JWMarriottATX is saying my room will cost more than I was quoted. I am NEVER staying here again. #RTX2016,@thejoule Great pool view. Great customer service consistently. 2 thumbs up. Good job. Great staff!
"we are sorry to hear you're disappointed with the hotel, can you please DM us your contact information so we can follow up?",Absolutely amazing! Jared and Allison's wedding at @thejoule was fantastic! Watch the film  vowcinema.com/weddingfilms/jÃ¢â‚¬Â¦
"we're  sorry to hear about your disappointment, can you DM us your info so we may follow up?  https://twitter.com/messages/compose?recipient_id=430952817Ã‚Â Ã¢â‚¬Â¦",Everything is layered pristinely picture-perfect on top of this Chicago-style slice at @thejoule's Americano. ow.ly/3vv9304QhDx
Very beautiful hotel but I've been extremely disappointed in the way they handled my stolen items report @JWMarriottATX @JWMarriott,Take the M-Line over to @DtownDallasInc this weekend for some great sales @thejoule @TENOVERSIX! #DowntownShopping twitter.com/DMagazine/statÃ¢â‚¬Â¦
hours and now we're dealing with this mess and getting horrible customer service.,New in the area and happy to find this gem. @TENOVERSIX @thejoule hotel Dallas hotspots coolhunting.com/travel/interviÃ¢â‚¬Â¦
"never had such a horrible experience with such a ""highend"" hotel. Flight from Atx to Memphis cancelled. Had to drive back 10",Just booked my flight for my business trip in Dallas. I'm glad I get to stay at @thejoule! And fly @SouthwestAir #worktripflow
"Dear @JWMarriottATX, terrible experience checking out with the bill this weekend. Cannot get anyone to help us on the phone.",@thejoule Impressed and inspired by your warm welcome today. Thank you. Outstanding service.
Get back to my room and almost miss this gem. @JWMarriottATX #AORally #AOFamily A successful trip was never in doubt pic.twitter.com/7dU6M6ZEW4,@thejoule love your Bulgari bathroom products... what's the name of them - would love to buy my own...!
"@NOPCKL Misplacing your ID can be frustrating, we're thrilled Savanna was able to return it right away! We'll send your thanks her way!",Beautiful dinner and private screening @thejoule @snapster #goodtimes #magicalnight instagram.com/p/BBfiaqxxNLX/
"@_Dorio happy to hear you enjoyed your visit, although our bustling lobby was a tad loud. Please let us know if we can assist with anything!",Thank you @thejoule for taking such wonderful care of Andra and her band. thejouledallas.com pic.twitter.com/1aYmh72EBG
@JWMarriottATX great weekend at the JW.  Busy weekend for the JW though so it was a little loud at times.,Mommy-Daughter Treasure You moment!!! Thanks so much The Spa at @thejoule for the most amazing day!!! #TreasureYou pic.twitter.com/x7uWqbv7Bh
Top grossing ATX places for alcohol; @JWMarriottATX @Topgolf and @drafthouse. Continual bad news for local bars. https://twitter.com/statesman/status/714917808887431169Ã‚Â Ã¢â‚¬Â¦,Loved my amazing suite at the @thejoule the views from the rooftop were  Å¸â€˜Å’ Å¸ï¿½Â¾ pic.twitter.com/FVg5Jh4x8E
@averayray we're very sorry to hear you did not enjoy your meal at the hotel. Please DM us your information as we'd love to follow up!,@leonalewis @thejoule Enjoy yourself Leona.Keep posting your pictures#LeonaLewis
Another fashion show @JWMarriottATX with bad sound design #austinsymphony #jewelball.,Clear the cobwebs and set forth making it a GREAT week!! #1530main #thejoule #americano #dreamsÃ¢â‚¬Â¦ instagram.com/p/BED9FuqBCl9/
@jarpad @JWMarriottATX IM disappointed. I wanted another #duhpocalypse.,Happy 3 week anniversary to this stunning couple! Ã³Â¾Å’Â§ @shannons_photo @xtina_876 #itshandled #thejoule... fb.me/1kPj0MD2J
"@JWMarriottATX You need to respond to @jarpad if you haven't yet. It only looks bad on you if you ignore him, and a lot of people can see.",Best of Southern Hospitality: An Epic Dallas Food Tour @WaywardDallas @thejoule @HGSplyCo bit.ly/29xxCma pic.twitter.com/LXCud4PwyP
@jarpad Oh I hope everything okay w/ @JWMarriottATX Not good to happen on holiday. Ã°Å¸ËœÅ¾,my wife and I like @thejoule hotel. Good restaurant and right across from the big eyeball. They will drive u around town too
@jarpad @JWMarriottATX oh snap. The moose is not pleased with his accommodations. Tread lightly.,@thejoule We know we have begged you before  but we really would like you to follow us. We do follow and unfollow back.
You can never go wrong with @gourdough. Ã¢ÂÂ¤Ã¯Â¸Â https://twitter.com/hollychronicles/status/633862612908961792Ã‚Â Ã¢â‚¬Â¦,@thejoule thx 4 a great stay & for being pet friendly posh! pic.twitter.com/HqROuSerAb
@JWMarriottATX not happy with being overcharged for my room & having to call back repeatedly to remove the charge. #getittogether,@thejoule what brand and type pillows do you use. Very comfortable.
The smiles keep on coming and the fun is never ending here at Streamline. Thank you jwmarriottatx andÃ¢â‚¬Â¦  https://instagram.com/p/4z9Q9BoFjP/Ã‚Â ,Thank you @thejoule catering for being fabulous.
feeling pretty spoiled right now @JWMarriottATX ... miss you @chefstraub pic.twitter.com/vOR7zh5nii,Bike and brunch  ummm  yes please. We're always up for a good brunch around the corner at Americano at @thejoule. bit.ly/2m9mUrk
"@joelrothstein channelling @bhorowitz explaining ""bad ideas"" for @marriottlabs at #mdigital2015 @JWMarriottATX  pic.twitter.com/m4qi4M8fTN",I enjoyed writing this piece bout Dallas' upcoming Film Festivals for @thejoule's #1530Main @DallasFilm @mikerawlins 1530main.com/watch-it/ pic.twitter.com/ChIbk5YVeG
@jessicanaziri @shiralazar @MarriottIntl @JWMarriottATX yeah....that's not a great idea #hackers,An acrylic window highlights the serenity of the 8-story high #rooftoppool at @thejoule #Dallas. bit.ly/JouleHotelDallÃ¢â‚¬Â¦ #IncrediblePools pic.twitter.com/3gPNL6ulrQ
"@jessicanaziri We would never dream of doing such a thing. Welcome home, Jessica!",Thank you @fortyfiveten @thejoule @DroesePR for a beautiful evening! twitter.com/family_place/sÃ¢â‚¬Â¦
Never leaving @JWMarriottATX Ya'll are going to need to kick me out of here.  pic.twitter.com/9gpTi8gTbX,In Dallas staying at @thejoule and OMG! Everyone here has been so wonderful  and helpful. I wish we were staying for longer than 1 night
Well jwmarriottatx sure has spoiled us! Ã°Å¸â€™Å“ #mdigital2015 #howwelunch #jennyintheatx @ JW Marriott Austin  https://instagram.com/p/4hUpv_j9lG/Ã‚Â ,A great weekend at the @thejoule #Dallas celebrating the birthday of @scott_kehn - now off to #NYFW pic.twitter.com/TsEwaZmjqU
Feeling truly outrageous with this lighting at jwmarriottatx! #mdigital2015 #JEM #ShowtimeSynergy @Ã¢â‚¬Â¦  https://instagram.com/p/4feFDLD9vh/Ã‚Â ,That one time we had the perfect staycation @thejoule .... | #WETHEBIRDS #STAYCATION #THEJOULE | pic.twitter.com/gwngPk2AmZ
Need plans for #4thOfJuly? It's never too late for a #staycation.  http://bit.ly/1HjXTzyÃ‚Â  #JWMATX pic.twitter.com/oMbs4Lo85u,Tasting day at The Joule! Best presentation and OH so yummy! #mintedartistry #thejoule fb.me/2cH41qzxs
@JWMarriottATX that was the worst $10 margarita I've ever had. Lime looked like it was left over from prohibition. #cornerbar,From a night at @thejoule to sweet treats  give the perfect #ValentinesDay present with help from our gift guide. bit.ly/2kup6Jy pic.twitter.com/e6me3UoZSD
Grace @JWMarriottATX was awesome!  I travel quite often & have never had a better welcome!  We know why they call her #savinggrace!,Lounging at the beautiful rooftop of the @thejoule pic.twitter.com/kwB6GYzYNi
Worst part of TLA? Waiting over 45 min for the valet at @JWMarriottATX to get our car Looks like we won't be at the alumni mixer afterall :(,Confirmed our spa tours and appointments for Dallas today. Two we are very excited about are @thejoule and @WDallasHotel #dallas #spas
"@JWMarriottATX how about a happy hour at corner bar? Austin is all about HHs, when we asked one of your servers was rude about it",Great dinner @thejoule in Dallas as @andrewzimmern would say if it looks good try it #wedid pic.twitter.com/w3WUllhUL1
@JWMarriottATX tough debut - nothing like a stress test right after opening - at least you're not jamming cell too (FCC petition) nice hotel,Brb  running to @thejoule for some delicious sweets! twitter.com/dtowndallasincÃ¢â‚¬Â¦
@slandeditorial @JWMarriottATX // Wish I could be there! Too bad I've got my day gig...,You don't need to leave #Dallas to have a great time! bit.ly/1oa6RYv @PocketSandwich @PerotMuseum @BishopArtsDist @thejoule
@JWMarriottATX 2nd floor mens room right hand sink soap dispensor not working,Check out the super luxe penthouses and stunning hotel expansion @thejoule in the March issue of @hdmag ! goo.gl/l2MBRu
@handcoding I'm guessing Verizon works better than ATT here. I'm on ATT it's pretty bad at the Marriott cutting out @jwmarriottatx @sxsw,#FlashbackFriday to our (re) launch party at @thejoule hotel in Dallas...only beautiful people! #FashionScoop #FSD pic.twitter.com/bYQG5M2lLl
Wifi's terrible at @JWMarriottATX so IÃ¢â‚¬â„¢m going to spam you all w/tweets from this @NASA social media panel when I get out. #SXSW #NASASocial,@thejoule has the best showers I've ever seen in a hotel... #notkidding #heaven
Really poor internet at #SXSW today. Its 12:31pm and I wonder when this tweet will send. #JWMarriottATX,My new fav hotel #thejoule in downtown Dallas. Gorgeous rooms and three terrificÃ¢â‚¬Â¦ instagram.com/p/BLennWFBs9e/
